Seller_ID,Seller_Name,Store_Branch,Region,Sales_Channel
SL10000,Ana Fisher,"Rogers, Johnson and Wilson",East,e-commerce
SL10000,Amy Stone,"Richardson, Jackson and Orr",South,e-commerce
SL10002,Mr. Brian Braun,Rodriguez Inc,123,physical_store
SL10003,Angela Carter,"Wallace, Torres and Thomas",North,physical_store
SL10004,Dylan Allen,Freeman-Myers,North,marketplace
SL10005,Holly Klein,Ayala-Brewer,East,e-commerce
SL10006,Joseph Gaines,Carroll-Ellis,West,marketplace
SL10007,Richard Taylor,Fleming Ltd,South,marketplace
SL10008,Natalie White,"Rose, Johnson and Davis",North,physical_store
SL10009,Joseph Meyers,"Spencer, Watkins and Jackson",North,physical_store
SL10010,Randy Ferguson,Knight-Brown,South,e-commerce
SL10011,Margaret Gardner,Petty Ltd,South,physical_store
SL10012,Mr. Jimmy Sanders,Jones-Ryan,West,marketplace
SL10013,Jessica Henry,Shaffer Inc,West,physical_store
SL10014,Jeffery Douglas,Williams-Scott,West,physical_store
SL10015,Kristen Small,Taylor Group,South,e-commerce
SL10016,Madeline Sanchez,"Rodriguez, Johnson and Nichols",East,e-commerce
SL10017,Susan Conrad,"Kramer, Rodriguez and Stephenson",North,marketplace
SL10018,Rachel Williams,"Robinson, Smith and Torres",East,e-commerce
SL10019,Austin Bright,Smith Ltd,South,physical_store
SL10020,Megan Huff,Dodson and Sons,South,e-commerce
SL10021,Christopher May,Wright-Pineda,South,physical_store
SL10022,Ashley Brooks,Jones Ltd,East,marketplace
SL10023,Edward Johnson,"Hughes, Garcia and Thomas",North,physical_store
SL10024,Mr. Joseph Jones V,Carrillo-Cooper,South,physical_store
SL10025,Deborah Anderson,Brown and Sons,East,physical_store
SL10026,Breanna Burton,Thompson-Hammond,East,physical_store
SL10027,Brittney Johnson,"King, Daniel and Johnson",East,e-commerce
SL10028,Ashley Davis DDS,"Lozano, Clarke and Schroeder",East,physical_store
SL10029,Brooke Small,Ramos-Jones,East,physical_store
SL10030,Ashley Martin,Martin Group,South,marketplace
SL10031,Monica Williams,"Hawkins, Brown and Vance",West,e-commerce
SL10032,Tanner Maldonado,"Bean, Jenkins and Allen",North,e-commerce
SL10033,Taylor Velasquez,"King, Nguyen and Christian",West,e-commerce
SL10034,Antonio Gibson,Lara-Hale,West,marketplace
SL10035,April Erickson,"Madden, Young and Pittman",East,marketplace
SL10036,Tara Jones,"Hughes, Carlson and Moore",West,marketplace
SL10037,Brittney Hall,"Myers, Mendoza and Wilson",West,marketplace
SL10038,James Webb,Thompson Group,West,marketplace
SL10039,Trevor Gibson,West PLC,West,marketplace
SL10040,Larry Black,Williams and Sons,West,e-commerce
SL10041,Jeremy Hess,"Arnold, Ellison and Hall",West,e-commerce
SL10042,Jacob Galloway,Wade-Wright,East,marketplace
SL10043,Lindsey Smith,Sanchez Inc,North,e-commerce
SL10044,Sean Gallagher,Wilson Ltd,South,physical_store
SL10045,Stephen Jimenez,Lowe PLC,East,physical_store
SL10046,David Ingram,"Gibson, Sullivan and Guzman",East,physical_store
SL10047,Melanie Parker,King-Webster,South,e-commerce
SL10048,Anthony Webb,Jackson-King,West,marketplace
SL10049,Janet Martinez,Barton-Hernandez,North,physical_store
SL10050,Stephen Rivera,Rivas-Dominguez,South,physical_store
SL10051,Carly Guerrero,Travis Group,North,physical_store
SL10052,Elizabeth Ward,Jacobs-Morales,East,marketplace
SL10053,Daniel Allen MD,Anderson-Crosby,West,marketplace
SL10054,Amanda Cruz,Wang Group,West,physical_store
SL10055,Nicole Henderson,"Kelly, Stevens and Hudson",East,e-commerce
SL10056,Dr. Sarah Stephens,Benton Group,West,physical_store
SL10057,Shannon Davis,Moreno-Roy,West,e-commerce
SL10058,Megan Farrell,Miller-Perez,South,physical_store
SL10059,Justin Ramirez,Thomas-Cooley,East,physical_store
SL10060,James Hawkins,"Lopez, Morris and Lopez",West,e-commerce
SL10061,Brooke Miller,Alvarez-Hughes,North,marketplace
SL10062,Edward Graham,Williams Inc,West,marketplace
SL10063,Sara Klein,"Williams, Taylor and Ramos",South,physical_store
SL10064,Edward Todd,Reed-Scott,West,marketplace
SL10065,Shelley Medina,Davis LLC,North,physical_store
SL10066,Andrew Curry,Castillo Group,South,physical_store
SL10067,William Morales,Reyes and Sons,West,marketplace
SL10068,Luis Contreras,Wilkins Group,North,marketplace
